Date,Sales
2024-01-01,230
2024-01-02,237
2024-01-03,244
2024-01-04,251
2024-01-05,258
2024-01-06,240
2024-01-07,247
2024-01-08,254
2024-01-09,261
2024-01-10,268
2024-01-11,250
2024-01-12,257
2024-01-13,264
2024-01-14,271
2024-01-15,278
2024-01-16,260
2024-01-17,267
2024-01-18,274
2024-01-19,281
2024-01-20,288
2024-01-21,270
2024-01-22,277
2024-01-23,284
2024-01-24,291
2024-01-25,298
2024-01-26,280
2024-01-27,287
2024-01-28,294
2024-01-29,301
2024-01-30,308
2024-01-31,290
2024-02-01,297
2024-02-02,304
2024-02-03,311
2024-02-04,318
2024-02-05,300
2024-02-06,307
2024-02-07,314
2024-02-08,321
2024-02-09,328
2024-02-10,310
2024-02-11,317
2024-02-12,324
2024-02-13,331
2024-02-14,338
2024-02-15,320
2024-02-16,327
2024-02-17,334
2024-02-18,341
2024-02-19,348
2024-02-20,330
2024-02-21,337
2024-02-22,344
2024-02-23,351
2024-02-24,358
2024-02-25,340
2024-02-26,347
2024-02-27,354
2024-02-28,361
2024-02-29,368
2024-03-01,350
2024-03-02,357
2024-03-03,364
2024-03-04,371
2024-03-05,378
2024-03-06,360
2024-03-07,367
2024-03-08,374
2024-03-09,381
2024-03-10,388
2024-03-11,370
2024-03-12,377
2024-03-13,384
2024-03-14,391
2024-03-15,398
2024-03-16,380
2024-03-17,387
2024-03-18,394
2024-03-19,401
2024-03-20,408
2024-03-21,390
2024-03-22,397
2024-03-23,404
2024-03-24,411
2024-03-25,418
2024-03-26,400
2024-03-27,407
2024-03-28,414
2024-03-29,421
2024-03-30,428
2024-03-31,410
2024-04-01,417
2024-04-02,424
2024-04-03,431
2024-04-04,438
2024-04-05,420
2024-04-06,427
2024-04-07,434
2024-04-08,441
2024-04-09,448
