name,calories,fiber,sugars,vitamins,rating
100% Bran,70,10,6,25,68.402973
100% Natural Bran,120,2,8,0,33.983679
All-Bran,70,9,5,25,59.425505
All-Bran with Extra Fiber,50,14,0,25,93.704912
Almond Delight,110,1,8,25,34.384843
Apple Cinnamon Cheerios,110,1.5,10,25,29.509541
Apple Jacks,110,1,14,25,33.174094
Basic 4,130,2,8,25,37.038562
Bran Chex,90,4,6,25,49.120253
Bran Flakes,90,5,5,25,53.313813
Cap'n'Crunch,120,0,12,25,18.042851
Cheerios,110,2,1,25,50.764999
Cinnamon Toast Crunch,120,0,9,25,19.823573
Clusters,110,2,7,25,40.400208
Cocoa Puffs,110,0,13,25,22.736446
Corn Chex,110,0,3,25,41.445019
Corn Flakes,100,1,2,25,45.863324
Corn Pops,110,1,12,25,35.782791
Count Chocula,110,0,13,25,22.396513
Cracklin' Oat Bran,110,4,7,25,40.448772
Cream of Wheat (Quick),100,1,0,0,64.533816
Crispix,110,1,3,25,46.895644
Crispy Wheat & Raisins,100,2,10,25,36.176196
Double Chex,100,1,5,25,44.330856
Froot Loops,110,1,13,25,32.207582
Frosted Flakes,110,1,11,25,31.435973
Frosted Mini-Wheats,100,3,7,25,58.345141
Fruit & Fibre Dates; Walnuts; and Oats,120,5,10,25,40.917047
Fruitful Bran,120,5,12,25,41.015492
Fruity Pebbles,110,0,12,25,28.025765
Golden Crisp,100,0,15,25,35.252444
Golden Grahams,110,0,9,25,23.804043
Grape Nuts Flakes,100,3,5,25,52.076897
Grape-Nuts,110,3,3,25,53.371007
Great Grains Pecan,120,3,4,25,45.811716
Honey Graham Ohs,120,1,11,25,21.871292
Honey Nut Cheerios,110,1.5,10,25,31.072217
Honey-comb,110,0,11,25,28.742414
Just Right Crunchy  Nuggets,110,1,6,100,36.523683
Just Right Fruit & Nut,140,2,9,100,36.471512
Kix,110,0,3,25,39.241114
Life,100,2,6,25,45.328074
Lucky Charms,110,0,12,25,26.734515
Maypo,100,0,3,25,54.850917
Muesli Raisins; Dates; & Almonds,150,3,11,25,37.136863
Muesli Raisins; Peaches; & Pecans,150,3,11,25,34.139765
Mueslix Crispy Blend,160,3,13,25,30.313351
Multi-Grain Cheerios,100,2,6,25,40.105965
Nut&Honey Crunch,120,0,9,25,29.924285
Nutri-Grain Almond-Raisin,140,3,7,25,40.69232
Nutri-grain Wheat,90,3,2,25,59.642837
Oatmeal Raisin Crisp,130,1.5,10,25,30.450843
Post Nat. Raisin Bran,120,6,14,25,37.840594
Product 19,100,1,3,100,41.50354
Puffed Rice,50,0,0,0,60.756112
Puffed Wheat,50,1,0,0,63.005645
Quaker Oat Squares,100,2,6,25,49.511874
Quaker Oatmeal,100,2.7,-1,0,50.828392
Raisin Bran,120,5,12,25,39.259197
Raisin Nut Bran,100,2.5,8,25,39.7034
Raisin Squares,90,2,6,25,55.333142
Rice Chex,110,0,2,25,41.998933
Rice Krispies,110,0,3,25,40.560159
Shredded Wheat,80,3,0,0,68.235885
Shredded Wheat 'n'Bran,90,4,0,0,74.472949
Shredded Wheat spoon size,90,3,0,0,72.801787
Smacks,110,1,15,25,31.230054
Special K,110,1,3,25,53.131324
Strawberry Fruit Wheats,90,3,5,25,59.363993
Total Corn Flakes,110,0,3,100,38.839746
Total Raisin Bran,140,4,14,100,28.592785
Total Whole Grain,100,3,3,100,46.658844
Triples,110,0,3,25,39.106174
Trix,110,0,12,25,27.753301
Wheat Chex,100,3,3,25,49.787445
Wheaties,100,3,3,25,51.592193
Wheaties Honey Gold,110,1,8,25,36.187559
