"","System","River","ReturnYear","Total_Returns","AgeClass_0.1","AgeClass_0.2","AgeClass_0.3","AgeClass_0.4","AgeClass_0.5","AgeClass_1.1","AgeClass_1.2","AgeClass_1.3","AgeClass_1.4","AgeClass_1.5","AgeClass_2.1","AgeClass_2.2","AgeClass_2.3","AgeClass_2.4","AgeClass_3.1","AgeClass_3.2","AgeClass_3.3","AgeClass_3.4"
"1","Fraser River","Chilko",1951,32000,0,0,0,0,0,32000,0,0,0,0,0,0,0,0,0,0,0,0
"2","Fraser River","Chilko",1952,1652925,0,0,0,0,0,3732,1643062,0,0,0,6131,0,0,0,0,0,0,0
"3","Fraser River","Chilko",1953,828243,0,0,0,0,0,1489,560635,11182,0,0,621,254316,0,0,0,0,0,0
"4","Fraser River","Chilko",1954,246165,0,0,0,0,0,3925,183278,10368,0,0,954,46358,1282,0,0,0,0,0
"5","Fraser River","Chilko",1955,690225,0,0,0,0,0,18732,644911,4705,0,0,5004,15449,1424,0,0,0,0,0
"6","Fraser River","Chilko",1956,1860093,0,0,0,0,0,1172,1763929,20763,0,0,114,74115,0,0,0,0,0,0
"7","Fraser River","Chilko",1957,607788,0,0,0,0,0,12234,514554,35975,0,0,2583,38833,3609,0,0,0,0,0
"8","Fraser River","Chilko",1958,768653,0,0,0,0,0,32418,632132,14004,0,0,2844,86362,893,0,0,0,0,0
"9","Fraser River","Chilko",1959,1487328,0,0,0,0,0,13905,1407963,4415,0,0,1373,58891,781,0,0,0,0,0
"10","Fraser River","Chilko",1960,2453759,0,0,0,0,0,76,2379854,31011,0,0,75,40510,2233,0,0,0,0,0
"11","Fraser River","Chilko",1961,163316,0,0,0,0,0,4055,117362,16684,0,0,63,25152,0,0,0,0,0,0
"12","Fraser River","Chilko",1962,324550,0,0,0,0,0,23792,278320,3149,0,0,1711,17578,0,0,0,0,0,0
"13","Fraser River","Chilko",1963,2231435,0,0,0,0,0,5472,2080497,13613,0,0,1272,130581,0,0,0,0,0,0
"14","Fraser River","Chilko",1964,1072291,0,0,0,0,0,256,958877,18659,0,0,1045,88363,5091,0,0,0,0,0
"15","Fraser River","Chilko",1965,151720,0,0,0,0,0,10657,52713,5980,0,0,409,81961,0,0,0,0,0,0
"16","Fraser River","Chilko",1966,1014263,0,0,0,0,0,37579,960609,11583,0,0,0,4492,0,0,0,0,0,0
"17","Fraser River","Chilko",1967,1138362,0,0,0,0,0,7252,1112861,13582,0,0,3971,696,0,0,0,0,0,0
"18","Fraser River","Chilko",1968,1873120,0,0,0,0,0,1787,1818921,4045,0,0,1343,47006,18,0,0,0,0,0
"19","Fraser River","Chilko",1969,380200,0,0,0,0,0,26456,138555,55810,0,0,1782,156756,841,0,0,0,0,0
"20","Fraser River","Chilko",1970,791502,0,0,0,0,0,28734,744469,2360,0,0,1479,14460,0,0,0,0,0,0
"21","Fraser River","Chilko",1971,2102377,0,0,0,0,0,46952,1933329,27636,0,0,5300,89160,0,0,0,0,0,0
"22","Fraser River","Chilko",1972,2391956,0,0,0,0,0,4126,2349375,23351,0,0,1108,13996,0,0,0,0,0,0
"23","Fraser River","Chilko",1973,464529,0,0,0,0,0,16775,369954,21925,0,0,294,55581,0,0,0,0,0,0
"24","Fraser River","Chilko",1974,723368,0,0,0,0,0,58786,630046,15839,0,0,5423,12146,1128,0,0,0,0,0
"25","Fraser River","Chilko",1975,838396,0,0,0,0,0,42709,740253,1084,0,0,13222,41128,0,0,0,0,0,0
"26","Fraser River","Chilko",1976,1998190,0,0,0,0,0,8835,1947465,0,0,0,1309,40581,0,0,0,0,0,0
"27","Fraser River","Chilko",1977,348080,0,0,0,0,0,26487,200775,34424,0,0,2893,83501,0,0,0,0,0,0
"28","Fraser River","Chilko",1978,702349,0,0,0,0,0,22821,641497,6807,0,0,3815,27243,166,0,0,0,0,0
"29","Fraser River","Chilko",1979,1460107,0,0,0,0,0,8457,1389008,4312,0,0,20230,36356,1744,0,0,0,0,0
"30","Fraser River","Chilko",1980,1735811,0,0,0,0,0,3346,1650944,7375,0,0,334,73812,0,0,0,0,0,0
"31","Fraser River","Chilko",1981,238911,0,0,0,0,0,8616,190527,25168,0,0,0,14210,390,0,0,0,0,0
"32","Fraser River","Chilko",1982,1184116,0,0,0,0,0,9358,1169034,2743,0,0,397,2584,0,0,0,0,0,0
"33","Fraser River","Chilko",1983,1716873,0,0,0,0,0,12504,1615466,77743,0,0,1371,9789,0,0,0,0,0,0
"34","Fraser River","Chilko",1984,4010144,0,0,0,0,0,1722,3920494,72206,0,0,414,15308,0,0,0,0,0,0
"35","Fraser River","Chilko",1985,749943,0,0,0,0,0,52424,180656,473961,0,0,2919,32179,7804,0,0,0,0,0
"36","Fraser River","Chilko",1986,1427395,0,0,0,0,0,45476,1355953,4547,0,0,182,18862,2375,0,0,0,0,0
"37","Fraser River","Chilko",1987,1922927,0,0,0,0,0,11108,1717330,131741,0,0,5243,57505,0,0,0,0,0,0
"38","Fraser River","Chilko",1988,852340,0,0,0,0,0,970,500714,36418,0,0,1951,310875,1412,0,0,0,0,0
"39","Fraser River","Chilko",1989,576617,0,0,0,0,0,47835,366037,2890,0,0,1563,153893,4399,0,0,0,0,0
"40","Fraser River","Chilko",1990,4634167,0,0,0,0,0,11552,4413216,184400,0,0,335,18862,5802,0,0,0,0,0
"41","Fraser River","Chilko",1991,4371072,0,0,0,0,0,2697,4032356,279555,0,0,863,54465,1136,0,0,0,0,0
"42","Fraser River","Chilko",1992,3370308,0,0,0,0,0,11841,2979547,316979,0,0,797,56111,5033,0,0,0,0,0
"43","Fraser River","Chilko",1993,3344580,0,0,0,0,0,13262,3015024,157913,0,0,0,155406,2975,0,0,0,0,0
"44","Fraser River","Chilko",1994,2512232,0,0,0,0,0,4495,2412516,86942,0,0,4715,3564,0,0,0,0,0,0
"45","Fraser River","Chilko",1995,1329086,0,0,0,0,0,3754,1126703,178745,0,0,537,19347,0,0,0,0,0,0
"46","Fraser River","Chilko",1996,2043114,0,0,0,0,0,18173,1773513,128342,0,0,614,122472,0,0,0,0,0,0
"47","Fraser River","Chilko",1997,3480174,0,0,0,0,0,10606,3380892,78754,0,0,208,9714,0,0,0,0,0,0
"48","Fraser River","Chilko",1998,1899495,0,0,0,0,0,2778,1331935,548667,0,0,184,15931,0,0,0,0,0,0
