Idade,Salario,Genero,Escolaridade,Score_Exame_Psicotecnico
58,30404.959338675162,Masculino,Médio,56.0
48,20886.50240089703,Feminino,Médio,
34,15959.388748213623,Masculino,Médio,57.0
62,28534.995326705834,Outro,Superior,68.0
27,10553.176215278942,Outro,Fundamental,44.0
40,24248.010485105126,Feminino,Superior,99.0
58,30785.077429825236,Masculino,Médio,53.0
38,15535.45202369673,Masculino,Superior,84.0
42,25497.999377166256,Feminino,Médio,61.0
30,16536.497604383047,Outro,Superior,89.0
30,19064.3105941948,Feminino,Superior,79.0
43,24648.14420961806,Outro,Médio,60.0
55,23355.02494538964,Masculino,Médio,71.0
59,26699.09479901515,Outro,Médio,60.0
43,25236.46802561631,Feminino,Médio,74.0
22,14051.851327167324,Masculino,Fundamental,51.0
41,20395.49203017926,Feminino,Médio,69.0
21,11086.63691654391,Feminino,Médio,78.0
43,27888.324478942122,Outro,Médio,51.0
63,28542.143055820852,Feminino,Superior,100.0
49,27235.48690585019,Outro,Médio,57.0
57,27489.03673783053,Masculino,Superior,80.0
21,9411.593983863899,Outro,Médio,52.0
40,25493.884259935952,Masculino,Médio,60.0
52,30127.08174494015,Outro,Médio,47.0
31,19567.548180003192,Feminino,Médio,79.0
41,,Outro,Superior,66.0
63,31605.019208163794,Outro,Médio,62.0
44,25409.76485647482,Masculino,Superior,91.0
46,21448.666217032718,Feminino,Médio,50.0
61,32120.83176244221,Outro,Médio,61.0
47,,Feminino,Médio,
35,,Outro,Médio,64.0
34,19975.78512718457,Outro,Médio,61.0
63,27408.896583832637,Feminino,Médio,67.0
22,21461.9363784273,Outro,Fundamental,48.0
56,22969.91309250149,Feminino,Médio,52.0
26,6929.056936061339,Outro,Fundamental,37.0
40,25790.55436750034,Masculino,Médio,41.0
28,17958.31346981468,Feminino,Médio,68.0
58,32120.599085260776,Outro,Médio,60.0
37,21641.7275463214,Outro,Médio,54.0
23,11438.766135765427,Masculino,Fundamental,46.0
44,17513.728142570842,Feminino,Médio,70.0
33,16879.022790968633,Outro,Médio,54.0
28,10614.191442439442,Masculino,Médio,62.0
45,27375.598667088758,Outro,Superior,83.0
21,9764.713092489306,Feminino,Fundamental,32.0
39,15372.514016037443,Outro,Médio,61.0
47,21893.070791735034,Outro,Médio,76.0
26,15064.657271378122,Outro,Médio,72.0
63,28681.377235980126,Outro,Médio,42.0
27,9388.898022167843,Masculino,Médio,58.0
54,28218.436057459563,Masculino,Superior,82.0
33,,Feminino,Médio,68.0
36,15465.28412314435,Masculino,Médio,69.0
55,25144.808471908385,Masculino,Médio,78.0
59,,Feminino,Médio,64.0
23,4259.578292513379,Masculino,Fundamental,56.0
21,3462.681128117224,Masculino,Médio,47.0
25,8907.77889373782,Feminino,Médio,55.0
61,29432.764241440764,Feminino,Superior,67.0
23,13054.537827990023,Feminino,Médio,40.0
48,31376.78108474776,Outro,Médio,44.0
37,22788.298116010097,Outro,Médio,42.0
45,21700.307350182866,Feminino,Médio,40.0
63,31404.918960486557,Feminino,Médio,43.0
53,21487.353176810957,Feminino,Médio,79.0
29,14407.43432003805,Outro,Superior,94.0
55,26056.70680539931,Outro,Superior,91.0
33,18113.592801690447,Masculino,Médio,73.0
50,20863.845282238384,Masculino,Superior,84.0
34,19596.732571205863,Feminino,Médio,49.0
27,,Outro,Médio,60.0
33,15956.199257715713,Outro,Fundamental,58.0
42,23008.558610494707,Outro,Superior,86.0
59,32950.719958555565,Feminino,Fundamental,46.0
40,17993.89764057082,Masculino,Médio,41.0
35,,Feminino,Fundamental,60.0
64,32062.962003908975,Masculino,Médio,52.0
37,18988.38049274416,Masculino,Médio,48.0
43,17634.95108072267,Feminino,Fundamental,55.0
45,22622.550871294712,Masculino,Fundamental,41.0
44,24489.991456227246,Masculino,Fundamental,45.0
64,39255.71803897521,Outro,Médio,51.0
60,34796.354130426036,Masculino,Médio,56.0
48,34765.91228755778,Feminino,Médio,53.0
34,13163.262185559754,Feminino,Médio,53.0
64,,Masculino,Médio,73.0
20,10916.71002869176,Outro,Fundamental,39.0
44,32949.01466608836,Outro,Médio,50.0
26,8958.508573224242,Masculino,Superior,75.0
28,9801.39078909612,Masculino,Médio,70.0
43,,Feminino,Médio,45.0
20,-619.4786215490349,Masculino,Médio,58.0
63,28871.224891596194,Outro,Médio,76.0
27,9704.33669223151,Masculino,Médio,43.0
43,22251.968932381038,Feminino,Fundamental,23.0
30,16708.779878885798,Feminino,Fundamental,39.0
36,27380.854196079432,Feminino,Fundamental,29.0
27,18252.11919093025,Feminino,Superior,83.0
54,24115.481721687986,Feminino,Superior,94.0
54,22507.926643258208,Masculino,Fundamental,45.0
52,28459.595857532528,Masculino,Fundamental,56.0
24,5398.833964896789,Masculino,Superior,97.0
61,39657.293829271766,Masculino,Fundamental,40.0
58,34897.200603606434,Feminino,Médio,79.0
60,27654.121739476475,Outro,Superior,98.0
47,14934.32735454561,Masculino,Médio,60.0
26,19769.361870827066,Outro,Médio,49.0
28,13427.30077373691,Masculino,Superior,97.0
27,19689.081559867307,Masculino,Médio,43.0
31,7527.861706028165,Outro,Fundamental,39.0
53,23503.124885231136,Feminino,Médio,56.0
52,26026.218498590915,Masculino,Superior,66.0
42,21234.90296882371,Masculino,Superior,
43,19249.672642603782,Masculino,Superior,88.0
56,31114.249661737493,Outro,Fundamental,33.0
54,21661.89785308703,Feminino,Superior,62.0
63,30788.10257489353,Outro,Superior,83.0
59,,Outro,Médio,76.0
41,23072.194170293744,Feminino,Superior,75.0
46,26558.074390444446,Outro,Superior,63.0
54,21376.789540810656,Feminino,Médio,63.0
20,2329.4291463218888,Masculino,Médio,73.0
54,33388.384109492545,Feminino,Médio,69.0
56,29661.57005989796,Masculino,Fundamental,37.0
33,,Outro,Médio,58.0
22,18755.759877612614,Outro,Médio,70.0
20,,Masculino,Superior,78.0
24,17896.48592031913,Outro,Superior,78.0
45,22837.592407050546,Feminino,Superior,81.0
33,26803.739624409936,Masculino,Fundamental,43.0
58,37776.70421221602,Outro,Médio,51.0
46,21755.179257604632,Masculino,Fundamental,49.0
28,18857.854754771775,Feminino,Médio,77.0
34,,Feminino,Superior,90.0
34,,Outro,Superior,95.0
45,17675.382697099478,Feminino,Médio,58.0
61,33930.2572999922,Masculino,Superior,95.0
32,21292.12243424794,Feminino,Superior,89.0
51,16706.302567884428,Masculino,Médio,72.0
58,23083.707436671124,Masculino,Superior,77.0
51,,Feminino,Médio,67.0
23,10152.965827777212,Outro,Médio,50.0
49,28087.711278979812,Feminino,Médio,72.0
56,35511.78526048014,Masculino,Médio,56.0
42,21370.473902098875,Masculino,Médio,45.0
58,37143.07772785646,Feminino,Médio,43.0
64,25099.492708925543,Outro,Médio,59.0
34,8483.087803224227,Outro,Médio,66.0
62,30722.261505516904,Masculino,Médio,
48,25920.327244696535,Masculino,Médio,45.0
55,27336.526259529535,Outro,Médio,53.0
32,5662.789499800618,Feminino,Médio,50.0
51,25054.39980243606,Masculino,Fundamental,58.0
26,6477.652497475734,Masculino,Médio,48.0
41,23848.362744150192,Outro,Fundamental,45.0
47,25332.99123048424,Feminino,Médio,55.0
21,5800.601068363224,Outro,Superior,64.0
61,27930.665413316532,Feminino,Médio,49.0
64,26703.93239055524,Feminino,Médio,42.0
25,12186.60451363414,Feminino,Superior,72.0
47,28275.71160250619,Masculino,Superior,89.0
47,18571.36976832228,Outro,Superior,65.0
